id	kind	section	line_start	line_end	byte_start	byte_end	sha256
HS-U01-B001	title	PREAMBLE	1	1	0	13	0cede63165332315229c5570b8e7ba38cf90682ad6d6b3c65bd4c2738b9a2c65
HS-U01-B002	paragraph	PREAMBLE	3	3	16	65	99a1f1667b912859e26b0e8ad9bc73afc43731cec7cdf85a0682338b86c0c291
HS-U01-B003	paragraph	PREAMBLE	5	5	67	201	7f8752371eb234eba2480cb9d4d351afdbab7c40d4019a1065ad16e31f10a932
HS-U01-B004	paragraph	PREAMBLE	7	7	203	284	330a8bc6bc23cfc57bb12ea33b54b479d934b5fb7bc5440b15bdb6036d731516
HS-U01-B005	paragraph	PREAMBLE	9	9	286	549	c7b011a04ab6c947ac45b7058728e738b992986033c0c0f69df3d6a93e6f6cf3
HS-U01-B006	heading	I	11	11	551	582	a9a1c09840dc7f6414a1fe5c86443f91cea608611f144080a251becb6517488a
HS-U01-B007	paragraph	I	13	13	584	664	5ab4ef62b675479e58c68a691d84f8e9e8cf999c5087fdb32f1b59d95543ed57
HS-U01-B008	paragraph	I	15	15	666	905	1b1e1bd90285327addb16adef49d8e67fb6ae51f30c508026207b0738fb430f5
HS-U01-B009	paragraph	I	17	17	907	1113	55a9adc5320de22386a36275f38c534e1aa07d3732d887674c08f92a7d67880d
HS-U01-B010	paragraph	I	19	19	1115	1386	a1f043547ca4add081e4dacf48704e31594839829b08cfafa1fa450e01c7583b
HS-U01-B011	paragraph	I	21	21	1388	1534	dd7f315a1abd095683bf5ae7012b512f2634288c3b84ba1277e46e14a772177f
HS-U01-B012	paragraph	I	23	23	1536	1700	1253f70764fcdba385cc11810be85adc589d034c3235dbdac30acf05403cdaf9
HS-U01-B013	paragraph	I	25	25	1702	1842	d1206174caa014d1ae43a910b90b4d036d428a67eb86cfcbd3a4f72fc102bb9a
HS-U01-B014	paragraph	I	27	27	1844	2008	14117263c152567b47fda7b4425f01950009cda71d2c46eb7cf231fb886bb97f
HS-U01-B015	paragraph	I	29	29	2010	2146	461c40f263ba6908b6282f18c96ea74ebf3fa3d7fbc9d195610cebe5d469f0e2
HS-U01-B016	paragraph	I	31	31	2148	2209	2dadccae3c5655013fe61f335ecec7bcff841877f735d478cc8d1d05bad2c844
