id	turn	kind	line_start	line_end	byte_start	byte_end	sha256
HS-U02-H	HS-U02	editorial_heading	1	1	0	31	10a2b0680ed678e20d0ba677ffd06873dbfc44b0bd8e8679072bc4a90eb7ac7d
HS-U02-P001	HS-U02	author_paragraph	2	2	32	462	91e85bebfa4f03b791b23eed2a490f7b10d76bb701565c0bbfd102f92f2a405c
HS-U03-H	HS-U03	editorial_heading	4	4	464	502	e4a2652ba1bbf2d0884fa9ac5d30932ef4f3c6f462a2050e690a20c8b2342a53
HS-U03-P001	HS-U03	author_paragraph	5	5	503	799	0bf2618cd865479aa83d275784b4b100467ac349f01a27ac7eec1240a1006eca
HS-U04-H	HS-U04	editorial_heading	7	7	801	859	f2f8613c35c18342429da0eeefa6c7fdb7ea35859f161bd0406eae498d44dd88
HS-U04-P001	HS-U04	author_paragraph	8	8	860	1227	b99fea55ea85889e6aa5cd8902c3ed90fef018717d0b4a1634157a048d9e9357
HS-U04-P002	HS-U04	author_paragraph	10	10	1229	1755	14d2dd65283a1aabf1c032099e4bc49375403e2bce0aeec2eb6e5e3e6b70d8fb
HS-U04-P003	HS-U04	author_paragraph	12	12	1757	1951	3a9c6731102cf1e1621395ae5e6dc6713bb78aca422f66792b19ddc6c0e52045
HS-U05-H	HS-U05	editorial_heading	14	14	1953	2009	6f58aed0fc3c2829bc261373dd2c913ad3e2316f07dabe8d0c0dc997cbeb840c
HS-U05-P001	HS-U05	author_paragraph	15	15	2010	2394	c8401b83e456c4bdf8afc562983695390a5cdd8581014bcf84a40d6cdd72caed
HS-U06-H	HS-U06	editorial_heading	17	17	2396	2435	162fff98f0f3547b7ffed566037e3d3f176d740eb66be1b4cfe86c68ac0951ae
HS-U06-P001	HS-U06	author_paragraph	18	18	2436	2689	d97d378e5c0e729438d720d989ba4613c725294d42ffbfd2812c8560a7807ea1
HS-U07-H	HS-U07	editorial_heading	20	20	2691	2748	5049d14d597cb6d51f4abe00865abe8d0f4c2baa950afb8524f2bd23a82304ad
HS-U07-P001	HS-U07	author_paragraph	21	21	2749	3260	a35a939170176f1a21a1a6b8cac327582eba69739d32a26f010e4cccf47d3a45
HS-U08-H	HS-U08	editorial_heading	23	23	3262	3320	77d724351599fa56f2607b0501060377d2534221a2a6153ca471b3a3aa342157
HS-U08-P001	HS-U08	author_paragraph	24	24	3321	3729	181b4bb80d54b81c283d84e5567834c6b33420073f511832dfb4a690e9f81a59
HS-U08-P002	HS-U08	author_paragraph	26	26	3731	4146	87a12745e19f3a1d0400121f93a0d17a56db4ae5c6903eaf20215b47050fb50a
HS-U08-P003	HS-U08	author_paragraph	28	28	4148	4242	431d962b58b4df1a859b8c7f59d76af2cd0ab767763f6fd88d201ab8720fe743
HS-U08-P004	HS-U08	author_paragraph	30	30	4244	4361	c05d9df88756096d072edd395d6cabb92270d5a6ff66ecbbd1ad820bc6fdd58d
HS-U09-H	HS-U09	editorial_heading	32	32	4363	4419	541166b068419ded0743e0eddddc9b0487e801fae140693d3f8e1b23f28ea3aa
HS-U09-P001	HS-U09	author_paragraph	33	33	4420	5167	c8a2ccf6a3409452b1b61c9892975e8b18c3be77be4084c516475f367a95913f
HS-U10-H	HS-U10	editorial_heading	35	35	5169	5207	d678ffdf9680f8ac3ac8e5892541967633ef1a9a887e058098770de0ef7f123b
HS-U10-P001	HS-U10	author_paragraph	36	36	5208	5363	3548bcdc3a6a3ab0bdd92075f403bec3cbc8c13e05badeb9fc6b31b716bb1672
HS-U11-H	HS-U11	editorial_heading	38	38	5365	5403	2d9459146635be2306a8ab8745478c5694caeb55836ec6426f3a0b72fb3394ee
HS-U11-P001	HS-U11	author_paragraph	39	39	5404	5529	b7c3874995528580deee42b7039c2faeb3a18c28b0d10609ed0391e6b5eb82f8
